time,arousal,valence
0.00,0.0,0.0
0.04,0.0,0.0
0.08,0.0,0.0
0.12,0.0,0.0
0.16,0.0,0.0
0.20,0.0,0.0
0.24,0.0,0.0
0.28,0.0,0.0
0.32,0.0,0.0
0.36,0.0,0.0
0.40,0.0,0.0
0.44,0.0,0.0
0.48,0.0,0.0
0.52,0.0,0.0
0.56,0.0,0.0
0.60,0.005,0.0033333333333333335
0.64,-0.005,0.006666666666666667
0.68,0.0016666666666666668,0.0033333333333333335
0.72,0.008333333333333333,0.006666666666666667
0.76,0.011666666666666667,0.008333333333333333
0.80,0.011666666666666667,0.01
0.84,0.011666666666666667,0.013333333333333334
0.88,0.011666666666666667,0.013333333333333334
0.92,0.011666666666666667,0.015
0.96,0.011666666666666667,0.016666666666666666
1.00,0.013333333333333334,0.018333333333333333
1.04,0.013333333333333334,0.018333333333333333
1.08,0.018333333333333333,0.02
1.12,0.02,0.021666666666666667
1.16,0.023333333333333334,0.023333333333333334
1.20,0.025000000000000005,0.02666666666666667
1.24,0.02666666666666667,0.030000000000000002
1.28,0.03333333333333333,0.03166666666666667
1.32,0.034999999999999996,0.03333333333333333
1.36,0.03666666666666667,0.03166666666666667
1.40,0.04,0.03166666666666667
1.44,0.04,0.03333333333333333
1.48,0.04,0.03
1.52,0.045000000000000005,0.03833333333333334
1.56,0.045000000000000005,0.04
1.60,0.045000000000000005,0.04
1.64,0.045000000000000005,0.041666666666666664
1.68,0.043333333333333335,0.04666666666666667
1.72,0.04,0.04833333333333334
1.76,0.03833333333333334,0.04833333333333334
1.80,0.03666666666666667,0.05000000000000001
1.84,0.035,0.05000000000000001
1.88,0.03333333333333333,0.05000000000000001
1.92,0.03333333333333333,0.05000000000000001
1.96,0.03333333333333333,0.05000000000000001
2.00,0.035,0.05166666666666667
2.04,0.036666666666666674,0.053333333333333344
2.08,0.035,0.05166666666666667
2.12,0.03333333333333333,0.05166666666666667
2.16,0.03333333333333333,0.05166666666666667
2.20,0.03333333333333333,0.05166666666666667
2.24,0.030000000000000002,0.055000000000000014
2.28,0.028333333333333335,0.05666666666666668
2.32,0.028333333333333335,0.06000000000000002
2.36,0.028333333333333332,0.06333333333333334
2.40,0.02666666666666667,0.06833333333333334
2.44,0.02666666666666667,0.07
2.48,0.02666666666666667,0.07166666666666667
2.52,0.02666666666666667,0.07833333333333335
2.56,0.02666666666666667,0.09166666666666667
2.60,0.02666666666666667,0.10166666666666668
2.64,0.024999999999999998,0.10833333333333335
2.68,0.02666666666666667,0.11499999999999999
2.72,0.02666666666666667,0.12166666666666666
2.76,0.02666666666666667,0.125
2.80,0.02666666666666667,0.13333333333333333
2.84,0.03,0.13499999999999998
2.88,0.03,0.13833333333333334
2.92,0.03,0.14333333333333334
2.96,0.028333333333333332,0.145
3.00,0.028333333333333332,0.15333333333333335
3.04,0.029999999999999995,0.155
3.08,0.029999999999999995,0.15666666666666668
3.12,0.03,0.16
3.16,0.03166666666666666,0.16166666666666668
3.20,0.03166666666666666,0.165
3.24,0.03333333333333333,0.16833333333333336
3.28,0.03166666666666667,0.17
3.32,0.03,0.17500000000000002
3.36,0.028333333333333332,0.17500000000000002
3.40,0.024999999999999998,0.17500000000000002
3.44,0.02333333333333333,0.17500000000000002
3.48,0.02,0.17500000000000002
3.52,0.015000000000000001,0.17833333333333334
3.56,0.013333333333333334,0.17833333333333334
3.60,0.015,0.18000000000000002
3.64,0.011666666666666667,0.17833333333333334
3.68,0.013333333333333334,0.18000000000000002
3.72,0.013333333333333334,0.18000000000000002
3.76,0.013333333333333334,0.18000000000000002
3.80,0.013333333333333334,0.18000000000000002
3.84,0.01666666666666667,0.18000000000000002
3.88,0.018333333333333337,0.18333333333333335
3.92,0.02,0.18833333333333332
3.96,0.02,0.18833333333333332
4.00,0.021666666666666667,0.18833333333333332
4.04,0.024999999999999998,0.19499999999999998
4.08,0.02333333333333333,0.19833333333333333
4.12,0.02333333333333333,0.19999999999999996
4.16,0.02333333333333333,0.19999999999999996
4.20,0.024999999999999998,0.20333333333333328
4.24,0.024999999999999998,0.205
4.28,0.02666666666666666,0.205
4.32,0.028333333333333332,0.205
4.36,0.028333333333333332,0.20666666666666664
4.40,0.03166666666666666,0.20666666666666664
4.44,0.03666666666666667,0.20833333333333334
4.48,0.04666666666666667,0.20999999999999996
4.52,0.05833333333333333,0.2133333333333333
4.56,0.06166666666666667,0.2133333333333333
4.60,0.06166666666666667,0.21166666666666667
4.64,0.06166666666666667,0.21166666666666667
4.68,0.06333333333333334,0.21166666666666667
4.72,0.06833333333333333,0.2133333333333333
4.76,0.06999999999999999,0.2166666666666667
4.80,0.06999999999999999,0.21666666666666665
4.84,0.07166666666666667,0.21666666666666665
4.88,0.07166666666666667,0.21666666666666665
4.92,0.07333333333333333,0.21666666666666665
4.96,0.075,0.21666666666666665
5.00,0.075,0.21666666666666665
5.04,0.08,0.215
5.08,0.07833333333333334,0.21333333333333337
5.12,0.07999999999999999,0.21166666666666667
5.16,0.07999999999999999,0.21166666666666667
5.20,0.07999999999999999,0.20833333333333334
5.24,0.08166666666666665,0.2066666666666667
5.28,0.08166666666666665,0.2066666666666667
5.32,0.08166666666666665,0.205
5.36,0.08333333333333333,0.2066666666666667
5.40,0.085,0.20333333333333337
5.44,0.08333333333333333,0.20000000000000004
5.48,0.085,0.20000000000000004
5.52,0.085,0.19500000000000003
5.56,0.08333333333333333,0.19000000000000003
5.60,0.08166666666666667,0.19000000000000003
5.64,0.07833333333333332,0.18666666666666668
5.68,0.07833333333333332,0.18500000000000003
5.72,0.07666666666666666,0.18500000000000003
5.76,0.075,0.18000000000000002
5.80,0.07333333333333333,0.17666666666666667
5.84,0.07166666666666667,0.17500000000000002
5.88,0.06833333333333333,0.17500000000000002
5.92,0.06666666666666667,0.17333333333333334
5.96,0.06333333333333334,0.16833333333333333
6.00,0.06,0.16833333333333333
6.04,0.056666666666666664,0.16833333333333333
6.08,0.05666666666666667,0.16666666666666666
6.12,0.05333333333333334,0.16833333333333333
6.16,0.05166666666666667,0.16833333333333333
6.20,0.04666666666666667,0.16833333333333333
6.24,0.043333333333333335,0.16666666666666666
6.28,0.041666666666666664,0.16833333333333333
6.32,0.03666666666666667,0.16833333333333333
6.36,0.034999999999999996,0.16833333333333333
6.40,0.034999999999999996,0.16833333333333333
6.44,0.03166666666666666,0.16833333333333333
6.48,0.029999999999999995,0.16666666666666666
6.52,0.026666666666666672,0.16666666666666666
6.56,0.023333333333333334,0.16666666666666666
6.60,0.023333333333333334,0.16666666666666666
6.64,0.021666666666666667,0.165
6.68,0.016666666666666663,0.165
6.72,0.01333333333333333,0.16333333333333333
6.76,0.01333333333333333,0.16666666666666666
6.80,0.011666666666666667,0.16666666666666666
6.84,0.011666666666666667,0.16666666666666666
6.88,0.010000000000000004,0.16666666666666666
6.92,0.008333333333333337,0.165
6.96,0.006666666666666668,0.165
7.00,0.005,0.16666666666666666
7.04,4.625929269271485e-18,0.16666666666666666
7.08,-0.003333333333333332,0.16666666666666666
7.12,-0.006666666666666664,0.16666666666666666
7.16,-0.006666666666666668,0.16833333333333333
7.20,-0.005,0.17333333333333334
7.24,-0.003333333333333332,0.17833333333333334
7.28,-0.003333333333333332,0.18333333333333335
7.32,-0.003333333333333332,0.18833333333333335
7.36,0.0,0.19999999999999998
