time,arousal,valence
0.00,0.0,0.0
0.04,0.0,0.0
0.08,0.0,0.0
0.12,0.0,0.0
0.16,0.0,0.0
0.20,0.0,0.0
0.24,0.0,0.0
0.28,0.0,0.0
0.32,0.0,0.0
0.36,0.0,0.0
0.40,0.0,0.0
0.44,0.0,0.0
0.48,0.0,0.0
0.52,0.0,0.0
0.56,0.0,0.0
0.60,0.0,0.0
0.64,0.0,0.0
0.68,0.0,0.0
0.72,0.0,0.0
0.76,0.0016666666666666668,0.0
0.80,0.0033333333333333335,0.0
0.84,0.0033333333333333335,0.0
0.88,0.0033333333333333335,0.0
0.92,0.0033333333333333335,0.0
0.96,0.0033333333333333335,0.0
1.00,0.0033333333333333335,0.023333333333333334
1.04,0.0033333333333333335,0.006666666666666667
1.08,0.0033333333333333335,0.0
1.12,0.0033333333333333335,0.0
1.16,0.0033333333333333335,-0.0016666666666666668
1.20,0.0033333333333333335,-0.0033333333333333335
1.24,0.0033333333333333335,-0.0033333333333333335
1.28,0.0033333333333333335,-0.0033333333333333335
1.32,0.005,-0.0033333333333333327
1.36,0.005,-0.006666666666666667
1.40,0.005,-0.006666666666666667
1.44,0.005,-0.006666666666666667
1.48,0.005,-0.006666666666666667
1.52,0.006666666666666667,-0.008333333333333333
1.56,0.006666666666666667,-0.011666666666666665
1.60,0.006666666666666667,-0.021666666666666667
1.64,0.006666666666666667,-0.02333333333333333
1.68,0.006666666666666667,-0.02333333333333333
1.72,0.006666666666666667,-0.02333333333333333
1.76,0.01,-0.02333333333333333
1.80,0.013333333333333334,-0.02333333333333333
1.84,0.013333333333333334,-0.02333333333333333
1.88,0.015,-0.02333333333333333
1.92,0.015,-0.02333333333333333
1.96,0.015,-0.02333333333333333
2.00,0.016666666666666666,-0.018333333333333337
2.04,0.02,-0.016666666666666666
2.08,0.023333333333333334,-0.015
2.12,0.026666666666666672,-0.015
2.16,0.026666666666666672,-0.011666666666666667
2.20,0.028333333333333335,-0.008333333333333333
2.24,0.028333333333333335,-0.005
2.28,0.030000000000000002,-0.001666666666666668
2.32,0.03,0.001666666666666666
2.36,0.03,0.003333333333333334
2.40,0.03,0.003333333333333334
2.44,0.03,0.003333333333333334
2.48,0.028333333333333335,0.005
2.52,0.02666666666666667,0.006666666666666668
2.56,0.023333333333333334,0.008333333333333333
2.60,0.02,0.01
2.64,0.013333333333333334,0.01
2.68,0.008333333333333335,0.01
2.72,0.0033333333333333353,0.008333333333333331
2.76,-0.001666666666666665,0.008333333333333331
2.80,-0.011666666666666667,0.006666666666666665
2.84,-0.021666666666666667,0.005
2.88,-0.03166666666666667,0.005
2.92,-0.04,0.003333333333333332
2.96,-0.043333333333333335,0.001666666666666666
3.00,-0.049999999999999996,0.001666666666666666
3.04,-0.05833333333333333,0.001666666666666666
3.08,-0.06333333333333334,0.001666666666666666
3.12,-0.06999999999999999,0.001666666666666666
3.16,-0.07333333333333332,0.001666666666666666
3.20,-0.07666666666666666,0.005
3.24,-0.08,0.005
3.28,-0.08333333333333333,0.006666666666666665
3.32,-0.08666666666666667,0.006666666666666665
3.36,-0.09166666666666666,0.005
3.40,-0.09499999999999999,0.003333333333333334
3.44,-0.09999999999999999,0.003333333333333334
3.48,-0.10333333333333333,0.001666666666666666
3.52,-0.10833333333333332,0.001666666666666666
3.56,-0.11833333333333333,0.001666666666666666
3.60,-0.12666666666666668,0.001666666666666668
3.64,-0.13,0.001666666666666668
3.68,-0.13833333333333334,0.0
3.72,-0.14333333333333334,-0.001666666666666668
3.76,-0.1466666666666667,-0.003333333333333332
3.80,-0.15166666666666667,-0.001666666666666668
3.84,-0.15333333333333335,-0.003333333333333336
3.88,-0.155,-0.0050000000000000044
3.92,-0.15666666666666665,-0.006666666666666668
3.96,-0.15833333333333333,-0.008333333333333337
4.00,-0.16,-0.008333333333333337
4.04,-0.16166666666666665,-0.008333333333333337
4.08,-0.16166666666666665,-0.008333333333333337
4.12,-0.15833333333333335,-0.011666666666666667
4.16,-0.15666666666666668,-0.011666666666666667
4.20,-0.155,-0.01333333333333333
4.24,-0.155,-0.015
4.28,-0.155,-0.016666666666666666
4.32,-0.155,-0.01833333333333333
4.36,-0.155,-0.01833333333333333
4.40,-0.155,-0.01833333333333333
4.44,-0.15666666666666665,-0.01833333333333333
4.48,-0.15666666666666665,-0.02
4.52,-0.15666666666666665,-0.02
4.56,-0.15833333333333333,-0.023333333333333334
4.60,-0.15666666666666665,-0.024999999999999994
4.64,-0.155,-0.02333333333333333
4.68,-0.15666666666666665,-0.02333333333333333
4.72,-0.15666666666666665,-0.02333333333333333
4.76,-0.15833333333333333,-0.023333333333333334
4.80,-0.16,-0.025000000000000005
4.84,-0.16,-0.025000000000000005
4.88,-0.16,-0.025000000000000005
4.92,-0.15833333333333333,-0.025000000000000005
4.96,-0.15833333333333333,-0.028333333333333332
5.00,-0.15833333333333333,-0.03166666666666667
5.04,-0.16,-0.03166666666666667
5.08,-0.155,-0.03166666666666667
5.12,-0.15166666666666667,-0.03
5.16,-0.15666666666666668,-0.03
5.20,-0.16833333333333333,-0.03
5.24,-0.16999999999999996,-0.028333333333333332
5.28,-0.17666666666666664,-0.028333333333333332
5.32,-0.18333333333333332,-0.03
5.36,-0.18666666666666665,-0.03
5.40,-0.18666666666666665,-0.03
5.44,-0.18833333333333332,-0.028333333333333335
5.48,-0.18833333333333332,-0.02666666666666667
5.52,-0.18833333333333332,-0.02666666666666667
5.56,-0.18833333333333332,-0.030000000000000002
5.60,-0.18999999999999997,-0.03166666666666667
5.64,-0.19333333333333333,-0.03166666666666667
5.68,-0.19499999999999998,-0.03166666666666667
5.72,-0.19666666666666666,-0.03166666666666667
5.76,-0.19666666666666666,-0.03166666666666667
5.80,-0.19666666666666666,-0.03166666666666667
5.84,-0.19666666666666666,-0.03166666666666667
5.88,-0.19833333333333333,-0.03166666666666667
5.92,-0.19999999999999998,-0.03166666666666667
5.96,-0.19999999999999998,-0.03166666666666667
6.00,-0.20333333333333334,-0.03166666666666667
6.04,-0.20333333333333334,-0.03166666666666667
6.08,-0.20333333333333334,-0.03166666666666667
6.12,-0.2083333333333333,-0.03166666666666667
6.16,-0.21,-0.03166666666666667
6.20,-0.21,-0.03166666666666667
6.24,-0.21,-0.03166666666666667
6.28,-0.21,-0.03166666666666667
6.32,-0.21,-0.030000000000000002
6.36,-0.21,-0.030000000000000002
6.40,-0.21,-0.028333333333333335
6.44,-0.21166666666666664,-0.028333333333333335
6.48,-0.21499999999999997,-0.028333333333333335
6.52,-0.21666666666666665,-0.028333333333333335
6.56,-0.21999999999999997,-0.024999999999999998
6.60,-0.21999999999999997,-0.024999999999999998
6.64,-0.21999999999999997,-0.02333333333333333
6.68,-0.2183333333333333,-0.018333333333333326
6.72,-0.2183333333333333,-0.013333333333333322
6.76,-0.21666666666666665,-0.011666666666666657
6.80,-0.20666666666666664,-0.009999999999999988
6.84,-0.19999999999999996,-0.0066666666666666706
6.88,-0.19333333333333333,-0.001666666666666668
6.92,-0.19166666666666665,-0.001666666666666668
6.96,-0.18833333333333332,0.001666666666666668
7.00,-0.17999999999999997,0.003333333333333336
7.04,-0.17166666666666663,0.0050000000000000044
7.08,-0.16166666666666665,0.006666666666666672
7.12,-0.15166666666666664,0.00833333333333334
7.16,-0.15166666666666664,0.00833333333333334
