time,arousal,valence
0.00,0.0,0.0
0.04,0.0,0.0
0.08,0.0,0.0
0.12,0.0,0.0
0.16,0.0,0.0
0.20,0.0,0.0
0.24,0.0,0.0
0.28,0.0,0.0
0.32,0.0,0.0
0.36,0.0,0.0
0.40,0.0,0.0
0.44,0.0,0.0
0.48,0.0,0.0
0.52,0.0,0.0
0.56,0.0,0.0
0.60,0.0,0.0
0.64,0.0,0.0
0.68,0.0,0.0
0.72,0.0,0.0
0.76,0.0,0.0
0.80,0.0,0.0
0.84,0.0,0.0
0.88,0.0,0.0
0.92,0.0,0.0
0.96,-0.0016666666666666668,0.0
1.00,-0.0033333333333333335,0.0
1.04,-0.005,0.0
1.08,-0.005,0.0
1.12,-0.005,0.0
1.16,0.0,-0.0033333333333333335
1.20,0.0033333333333333335,-0.005
1.24,0.006666666666666667,-0.006666666666666667
1.28,0.006666666666666667,-0.006666666666666667
1.32,0.006666666666666667,-0.005
1.36,0.006666666666666667,-0.0033333333333333327
1.40,0.005,-0.0033333333333333327
1.44,0.006666666666666667,0.005
1.48,0.006666666666666667,0.005
1.52,0.006666666666666667,0.005
1.56,0.006666666666666667,0.005
1.60,0.008333333333333333,0.005
1.64,0.008333333333333333,0.005
1.68,0.006666666666666667,0.005
1.72,0.006666666666666667,0.006666666666666667
1.76,0.005,0.0016666666666666668
1.80,0.005,0.0016666666666666663
1.84,0.0033333333333333335,0.0033333333333333335
1.88,0.005,0.0033333333333333335
1.92,0.005,0.0033333333333333335
1.96,0.005,0.005
2.00,0.005,0.005
2.04,0.005,0.006666666666666668
2.08,0.006666666666666667,0.006666666666666668
2.12,0.006666666666666667,0.006666666666666668
2.16,0.006666666666666667,0.006666666666666668
2.20,0.006666666666666667,0.006666666666666667
2.24,0.005,0.006666666666666667
2.28,0.005,0.006666666666666667
2.32,0.005,0.008333333333333333
2.36,0.005,0.008333333333333333
2.40,0.0033333333333333327,0.01
2.44,0.0033333333333333327,0.01
2.48,0.0033333333333333327,0.01
2.52,0.0033333333333333327,0.011666666666666665
2.56,0.0033333333333333327,0.01333333333333333
2.60,0.0033333333333333327,0.01333333333333333
2.64,0.005,0.014999999999999998
2.68,0.006666666666666667,0.014999999999999998
2.72,0.006666666666666667,0.016666666666666666
2.76,0.008333333333333333,0.018333333333333333
2.80,0.008333333333333333,0.019999999999999997
2.84,0.011666666666666667,0.019999999999999997
2.88,0.013333333333333336,0.023333333333333334
2.92,0.015,0.025000000000000005
2.96,0.016666666666666666,0.025000000000000005
3.00,0.018333333333333333,0.025000000000000005
3.04,0.018333333333333333,0.028333333333333332
3.08,0.02,0.03166666666666667
3.12,0.02,0.03166666666666667
3.16,0.02,0.03166666666666667
3.20,0.023333333333333327,0.03166666666666667
3.24,0.028333333333333332,0.03333333333333333
3.28,0.028333333333333332,0.035
3.32,0.03,0.035
3.36,0.03,0.036666666666666674
3.40,0.03,0.04666666666666667
3.44,0.03,0.05166666666666667
3.48,0.03166666666666667,0.05333333333333334
3.52,0.03166666666666667,0.05833333333333333
3.56,0.03166666666666667,0.06166666666666667
3.60,0.03333333333333333,0.065
3.64,0.03333333333333333,0.07166666666666667
3.68,0.03333333333333333,0.075
3.72,0.03333333333333333,0.075
3.76,0.03333333333333333,0.07666666666666667
3.80,0.034999999999999996,0.08
3.84,0.034999999999999996,0.08166666666666667
3.88,0.03666666666666667,0.08333333333333333
3.92,0.04,0.08333333333333333
3.96,0.041666666666666664,0.085
4.00,0.043333333333333335,0.08666666666666667
4.04,0.045000000000000005,0.08833333333333333
4.08,0.04666666666666667,0.08833333333333333
4.12,0.04833333333333334,0.09000000000000001
4.16,0.05166666666666667,0.09166666666666667
4.20,0.05333333333333332,0.09500000000000001
4.24,0.05333333333333332,0.09666666666666668
4.28,0.051666666666666666,0.09833333333333333
4.32,0.05333333333333334,0.09999999999999999
4.36,0.05499999999999999,0.10000000000000002
4.40,0.05833333333333333,0.10166666666666668
4.44,0.065,0.10500000000000002
4.48,0.07166666666666666,0.10666666666666669
4.52,0.07833333333333332,0.11333333333333334
4.56,0.085,0.11666666666666668
4.60,0.09166666666666666,0.12666666666666668
4.64,0.09666666666666666,0.1366666666666667
4.68,0.10166666666666667,0.15000000000000002
4.72,0.10833333333333334,0.17333333333333334
4.76,0.11333333333333334,0.19000000000000003
4.80,0.11666666666666668,0.19500000000000003
4.84,0.12333333333333335,0.19666666666666668
4.88,0.12333333333333335,0.20500000000000004
4.92,0.13000000000000003,0.22333333333333336
4.96,0.13833333333333334,0.24166666666666667
5.00,0.14166666666666666,0.24666666666666667
5.04,0.14666666666666667,0.24833333333333332
5.08,0.15,0.25166666666666665
5.12,0.15333333333333335,0.255
5.16,0.15666666666666668,0.26
5.20,0.15666666666666668,0.265
5.24,0.15833333333333335,0.26666666666666666
5.28,0.16166666666666668,0.26666666666666666
5.32,0.16166666666666668,0.27
5.36,0.16333333333333333,0.27166666666666667
5.40,0.16333333333333333,0.275
5.44,0.16666666666666666,0.27666666666666667
5.48,0.16666666666666666,0.2783333333333334
5.52,0.16666666666666666,0.2783333333333334
5.56,0.16666666666666666,0.2816666666666667
5.60,0.16666666666666666,0.2816666666666667
5.64,0.16666666666666666,0.2833333333333334
5.68,0.16666666666666666,0.2833333333333334
5.72,0.16833333333333333,0.2866666666666667
5.76,0.16833333333333333,0.28833333333333333
5.80,0.16833333333333333,0.29000000000000004
5.84,0.17166666666666666,0.2916666666666667
5.88,0.17500000000000002,0.2916666666666667
5.92,0.17500000000000002,0.2933333333333334
5.96,0.17666666666666667,0.295
6.00,0.17833333333333334,0.295
6.04,0.17833333333333334,0.29333333333333333
6.08,0.17833333333333334,0.29333333333333333
6.12,0.18000000000000002,0.29333333333333333
6.16,0.18000000000000002,0.2916666666666667
6.20,0.18000000000000002,0.2916666666666667
6.24,0.18166666666666667,0.2916666666666667
6.28,0.18333333333333335,0.295
6.32,0.18166666666666667,0.295
6.36,0.18166666666666667,0.29833333333333334
6.40,0.18166666666666667,0.3016666666666667
6.44,0.18166666666666667,0.305
6.48,0.18166666666666667,0.3066666666666667
6.52,0.18166666666666667,0.3066666666666667
6.56,0.18166666666666667,0.3066666666666667
6.60,0.18000000000000002,0.30833333333333335
6.64,0.18000000000000002,0.31
6.68,0.18000000000000002,0.31
6.72,0.18000000000000002,0.3116666666666667
6.76,0.17833333333333334,0.315
6.80,0.17500000000000002,0.3183333333333333
6.84,0.17500000000000002,0.32166666666666666
6.88,0.17,0.3233333333333333
6.92,0.16833333333333333,0.3283333333333333
6.96,0.16833333333333333,0.3283333333333333
7.00,0.16666666666666666,0.33166666666666667
7.04,0.16666666666666666,0.34
7.08,0.165,0.3433333333333333
7.12,0.165,0.345
7.16,0.165,0.345
7.20,0.165,0.3433333333333333
7.24,0.165,0.345
7.28,0.165,0.345
7.32,0.16666666666666666,0.3466666666666667
7.36,0.16833333333333333,0.3466666666666667
7.40,0.16833333333333333,0.3466666666666667
7.44,0.16833333333333333,0.33666666666666667
7.48,0.16833333333333333,0.33499999999999996
7.52,0.17,0.33166666666666667
7.56,0.17166666666666666,0.33166666666666667
7.60,0.17166666666666666,0.3333333333333333
7.64,0.17333333333333334,0.3333333333333333
7.68,0.17333333333333334,0.3333333333333333
7.72,0.17333333333333334,0.3333333333333333
7.76,0.17333333333333334,0.3333333333333333
